root@autodl-container-1gcj1rxds4-d7bef2bf:~/Code# python main.py --alg qsgd --dataset cifar --iid 0 --alpha 0.1 --epochs 400 --gpu 0
Files already downloaded and verified
Files already downloaded and verified
Load dataset: cifar | Train set: 50000, Test set: 10000, Clients: 100
Model: cnn, Params: 2,777,674
Experiment Setup: Algorithm=qsgd, Dataset=cifar(Non-IID), Model=cnn, Epochs=400, Clients=100(10%), Local Epochs=5
QSGD Config: Quantization Bits=8
Other Configs: EMA=Off, Device=cuda:0, Optimizer=sgd, LR=0.001, Seed=42
[Cold Start] Initial model distribution: 1086790.6KB, Cumulative: 1086790.6KB
Round 60: TestAcc: 31.86%, TestLoss: 1.9429, TrainAcc: 90.65%, TrainLoss: 1.0492, Comm: 1113964.3KB, Cum: 66837856.6KB, Time: 35.3s                                           
Round 61: TestAcc: 26.17%, TestLoss: 2.0711, TrainAcc: 90.14%, TrainLoss: 0.9731, Comm: 1113964.3KB, Cum: 67951820.9KB, Time: 35.6s                                           
Round 62: TestAcc: 28.69%, TestLoss: 1.8825, TrainAcc: 82.04%, TrainLoss: 1.2566, Comm: 1113964.3KB, Cum: 69065785.2KB, Time: 34.5s                                           
Round 63: TestAcc: 29.48%, TestLoss: 1.8938, TrainAcc: 89.27%, TrainLoss: 1.0324, Comm: 1113964.3KB, Cum: 70179749.5KB, Time: 33.1s                                           
Round 64: TestAcc: 29.78%, TestLoss: 1.8845, TrainAcc: 79.40%, TrainLoss: 1.2218, Comm: 1113964.3KB, Cum: 71293713.8KB, Time: 31.7s                                           
Round 65: TestAcc: 31.48%, TestLoss: 1.9108, TrainAcc: 81.94%, TrainLoss: 0.9933, Comm: 1113964.3KB, Cum: 72407678.0KB, Time: 34.6s                                           
Round 66: TestAcc: 25.57%, TestLoss: 1.9639, TrainAcc: 83.90%, TrainLoss: 1.1603, Comm: 1113964.3KB, Cum: 73521642.3KB, Time: 33.0s                                           
Round 67: TestAcc: 25.70%, TestLoss: 2.0333, TrainAcc: 87.37%, TrainLoss: 1.0519, Comm: 1113964.3KB, Cum: 74635606.6KB, Time: 30.3s                                           
Round 68: TestAcc: 23.96%, TestLoss: 1.9730, TrainAcc: 84.53%, TrainLoss: 1.1712, Comm: 1113964.3KB, Cum: 75749570.9KB, Time: 35.5s                                           
Round 69: TestAcc: 29.46%, TestLoss: 1.8959, TrainAcc: 89.82%, TrainLoss: 1.0706, Comm: 1113964.3KB, Cum: 76863535.1KB, Time: 34.9s                                           
Round 70: TestAcc: 27.38%, TestLoss: 1.9254, TrainAcc: 89.67%, TrainLoss: 0.9798, Comm: 1113964.3KB, Cum: 77977499.4KB, Time: 35.4s                                           
Round 71: TestAcc: 27.37%, TestLoss: 1.9003, TrainAcc: 88.69%, TrainLoss: 1.0122, Comm: 1113964.3KB, Cum: 79091463.7KB, Time: 31.8s                                           
